Artist,Tracks,Plays
Red Hot Chili Peppers,Scar Tissue,48
Stephen Rippy,Shamburger,48
Martin O'Donnell &amp; Michael Salvatori,Not a Number,47
Red Hot Chili Peppers,The Zephyr Song,47
Rush,Working Man,46
Dire Straits,Walk of Life,45
Five Finger Death Punch,A Little Bit Off,45
Pink Floyd,Sheep,45
Rush,Tom Sawyer,45
The Police,King of Pain,45
Alexander Brandon,So It Begins (Deus Ex Main Title),44
Five Finger Death Punch,Sham Pain,44
Rage Against the Machine,Bulls on Parade,44
Alexander Brandon,Battery Park,43
Pink Floyd,"Shine on You Crazy Diamond, Pts. 1-5",43
Tool,Fear Inoculum,43
Led Zeppelin,The Battle of Evermore,42
Martin O'Donnell &amp; Michael Salvatori,Halo Theme Scorpion Mix,42
Nick Arundel,It Was the Joker,42
Pink Floyd,Comfortably Numb,42
The Police,Every Little Thing She Does Is Magic,42
AC/DC,Back in Black,41
Alexander Brandon,Home Base (UNATCO),41
Alexander Brandon,Reyes Gauntlet (Training Room),41
Brad Fiedel,The Terminator (Main Title),41
Foo Fighters,The Pretender,41
Gorillaz,Superfast Jellyfish,41
Hans Zimmer,Day One,41
Howard Shore,The Bridge of Khazad Dum,41
Mick Gordon,The Super Gore Nest,41
Pink Floyd,"Another Brick in the Wall, Pt. 1",41
The Police,Don't Stand So Close to Me,41
Tool,Pneuma,41
Alexander Brandon,Hong Kong Helipad,40
Alexander Brandon,Majestic 12 Laboratories,40
Pearl Jam,Black,40
Pink Floyd,Pigs on the Wing (Part 1),40
Rage Against the Machine,Know Your Enemy,40
Rush,The Spirit of Radio,40
Alexander Brandon,A Tough Decision (Lebedev's Airfield),39
Alexander Brandon,Training,39
Hans Zimmer,Mountains,39
Linkin Park,Somewhere I Belong,39
Ozzy Osbourne,Not Going Away,39
Pink Floyd,Echoes,39
Rage Against the Machine,Take the Power Back,39
Ryo Watanabe,Skies Unknown,39
Yes,Heart of the Sunrise,39
Alexander Brandon,Night Assignment (New York Streets),38
Hans Zimmer,Discombobulate,38
Home,12,38
John Paseano,Spider-Man,38
Pink Floyd,Hey You,38
The Police,So Lonely,38
Thin Lizzy,The Boys Are Back in Town,38
Dire Straits,Industrial Disease,37
Gorillaz,White Light,37
Martin O'Donnell &amp; Michael Salvatori,Infiltrate,37
Radiohead,Airbag,37
Rage Against the Machine,Bullet in the Head,37
The Police,Wrapped Around Your Finger,37
Christopher Larkin,Greenpath,36
Cream,White Room,36
Gorillaz,O Green World,36
King Crimson,Discipline,36
Ludowic,Overdose,36
Martin O'Donnell &amp; Michael Salvatori,Cryptic Whisper,36
Rage Against the Machine,Bombtrack,36
Rush,Red Barchetta,36
The Police,It's Alright For You,36
Yes,Close to the Edge,36
Alexander Brandon,Mission Critical (Unatco Combat),35
King Crimson,Epitaph,451
King Crimson,21st Century Schizoid Man,435
King Crimson,The Court of the Crimson King,434
King Crimson,Starless,393
King Crimson,I Talk to the Wind,363
King Crimson,Moonchild,350
Michael McCann,Opening Credits,337
King Crimson,Cat Food,328
Foster the People,Pumped Up Kicks,239
Dire Straits,Brothers in Arms,214
Gorillaz,Feel Good Inc.,207
Michael McCann,Sandstorm,190
Michael McCann,Prague,184
Michael McCann,Versalife,183
The Police,Bring On The Night,182
Michael McCann,Embrace What You Have Become Trailer,177
Beastie Boys,Intergalactic,176
Michael McCann,Apex Towers,175
Michael McCann,Main Menu Theme,172
Pink Floyd,Time,155
Beastie Boys,Sabotage,154
Martin O'Donnell &amp; Michael Salvatori,Moon Over Mombasa Part 2,154
Tool,Schism,149
Dire Straits,Your Latest Trick,148
The Police,Reggatta De Blanc,147
Michael McCann,First and Last,145
Michael McCann,Icarus - Main Theme,145
Michael McCann,The UTULEK Complex Golem City,143
Pink Floyd,Wish You Were Here,143
Michael McCann,Singapore Ambient (Part 2),141
Michael McCann,The Mole,141
Michael McCann,After the Crash,138
Dire Straits,On Every Street,136
Michael McCann,Detroit City Ambient (Part 1),136
Supertramp,Rudy,135
Supertramp,Crime of the Century,132
Kids Fly,Ensemble Dissonance,131
Tool,Lateralus,128
Michael McCann,Barrett Boss Fight,127
Mick Gordon,BFG Division,126
Radiohead,No Surprises,126
Supertramp,Bloody Well Right,126
Supertramp,School,124
Supertramp,The Logical Song,124
Home,Resonance,123
Pink Floyd,The Great Gig in the Sky,119
Red Hot Chili Peppers,Dark Necessities,119
Mick Gordon,At Doom's Gate,117
Mick Gordon,Rip &amp; Tear,117
Supertramp,Breakfast in America,117
Alexander Brandon,Synapse Awake (The Synapse),30
Bill Kiley,Rain On Brick,30
Gorillaz,El Mañana,30
Rush,Tears,30
Alexander Brandon,Naval Base,29
DJ Electrohead,Hit The Floor,29
Ennio Morricone,The Ecstasy of Gold,29
Hans Zimmer,The Fire Rises,29
Pink Floyd,Learning to Fly,29
Stephen Rippy,I Will Beat On Your Behind,29
The Police,Deathwish,29
The Police,Synchronicity II,29
Alexander Brandon,The Illuminati Reborn (Credits),28
Gorillaz,November Has Come,28
Green Day,Whatsername,28
Home,18,28
Home,Flashlight,28
Home,Sunshower,28
Keiki Kobayashi,Dual Wielder,28
Mick Gordon,Doom Eternal,28
Muse,Invincible,28
Pink Floyd,Run Like Hell,28
Dire Straits,Ride Across the River,27
Home,2,27
Keiki Kobayashi,Yinshi Valley,27
Kevin McMullan,Shookies in the Bank,27
Led Zeppelin,Immigrant Song,27
Ludowic,Katana Zero,27
Ludowic,Panoramic Feelings,27
Michael McCann,Janus,27
Nick Arundel,I Think You Should Do as He Says,27
Pearl Jam,Jeremy,27
Steely Dan,Do It Again,27
Stephen Rippy,Machina del Diablo,27
Stephen Rippy,"Ride, Lawrence, Ride!",27
The Police,Synchronicity I,27
Alexander Brandon,Hong Kong Streets,26
Alexander Brandon,UNATCO Return (Opponent Within),26
Amon Tobin,El Cargo,26
Bill Kiley,End Of The Road,26
