Artist,Tracks,Plays,Time
Christopher Larkin,Mantis Lords,22,38.5
Pink Floyd,The Happiest Days of Our Lives,21,38.5
Ludwig Goransson,The Protagonist,8,38.4
Ludwig Goransson,Meeting Neil,17,38.25
Aperture Science Psychoacoustics Laboratory,9999999,12,38.2
Christopher Larkin,Reflection,23,37.95
Van Halen,Ain't Talkin Bout Love,10,37.833
CoLD SToRAGE,Canada,6,37.4
Dire Straits,The Man’s Too Strong,8,37.333
Bill Kiley,Sneaky Driver,8,37.2
CoLD SToRAGE,Messij Extended,4,37.2
Gorillaz,Dirty Harry,10,37.167
CoLD SToRAGE,Body Plus -  Body in Motion  Remix,4,37.133
Weird Al  Yankovic,Germs,8,37.067
Aperture Science Psychoacoustics Laboratory,(defun botsbuildbots () (botsbuildbots)),9,37.05
Blue Öyster Cult,Godzilla,10,36.833
Styx,Come Sail Away,6,36.7
Keiki Kobayashi,Zero,7,36.633
Aerosmith,Sweet Emotion,8,36.533
Moby,We Are All Made of Stars,8,36.4
CoLD SToRAGE,Cairodrome,7,36.4
CoLD SToRAGE,Kinkong - Mix 2,8,36.133
Foreigner,Hot Blooded,8,35.733
Ludowic,V Limo (New Donk Shitty),21,35.7
Aperture Science Psychoacoustics Laboratory,Cara Mia Addio,14,35.7
Aerosmith,Rag Doll,8,35.467
AC DC,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),7,35.233
Samuel Barber,Adagio For Strings,6,35.2
Journey,Lights,11,34.833
Michael Jackson,Beat It,8,34.4
Ozzy Osbourne,Shot in the Dark,8,34.133
Michael McCann,The Orchid,8,34.0
Metallica,Orion,4,33.8
Michael McCann,Palisade Bank,7,33.6
Alice in Chains,Man in the Box,7,33.133
Hans Zimmer,No Time For Caution,8,32.8
Michael McCann,The Machine God,8,32.8
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",World 7 - Cloud World,15,32.75
Dio,Holy Diver,7,32.667
Kenta Nagata,Underground,15,32.5
Weird Al  Yankovic,Theme from Rocky XIII (the Rye or the Kaiser),9,32.4
The Police,Murder By Numbers,7,32.2
Christopher Larkin,Hollow Knight,20,32.0
Soundgarden,Black Hole Sun,6,32.0
Aperture Science Psychoacoustics Laboratory,Procedural Jiggle Bone,7,31.967
Rush,Something for Nothing,8,31.867
AC DC,Shoot to Thrill,6,31.7
Ludwig Goransson,Foils,10,31.667
Weird Al  Yankovic,I Can't Watch This,9,31.65
Van Halen,Panama,9,31.5
Van Halen,Dance the Night Away,10,31.333
Hans Zimmer,Dreaming of the Crash,8,31.333
CoLD SToRAGE,DOH-T,6,31.3
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",World 8 - Bowser’s World,15,31.25
AC DC,Dirty Deeds Done Dirt Cheap,8,30.933
Martin O'Donnell & Michael Salvatori,Halo Theme Mjolnir Mix,7,30.567
Rage Against the Machine,Freedom,5,30.5
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",Jungle,14,30.333
Nine Inch Nails,Head Like a Hole,6,30.0
Rage Against the Machine,Calm Like a Bomb,6,29.8
Michael Jackson,Thriller,5,29.75
Ozzy Osbourne,Crazy Train,6,29.6
Junkie XL,Blood Bag,8,29.2
Howard Shore,Concerning Hobbits,10,29.167
Aperture Science Psychoacoustics Laboratory,Robot Waiting Room #4,13,29.033
Bill Kiley,A Fine Red Mist,24,28.8
Weird Al  Yankovic,Canadian Idiot,12,28.6
ZZ Top,Cheap Sunglasses,6,28.6
Howard Shore,Anduril,11,28.417
Michael McCann,Martial Law,9,28.35
Mötley Crüe,Kickstart My Heart,6,28.2
Moby,Porcelain,7,28.117
Aperture Science Psychoacoustics Laboratory,Science is Fun,11,28.05
CoLD SToRAGE,Plasticity,7,27.183
The Rolling Stones,Paint It Black,8,26.933
Michael McCann,Dark Days,6,26.9
Michael McCann,Breaching the Veil,6,26.8
The Smashing Pumpkins,Disarm,8,26.267
Weird Al  Yankovic,Couch Potato,6,26.1
CoLD SToRAGE,Messij Received,6,25.5
Hans Zimmer,Introduce a Little Anarchy,7,25.433
Bryan Adams,Summer of '69,7,25.2
Bon Jovi,Livin' on a Prayer,6,25.1
The Jimi Hendrix Experience,Purple Haze,9,24.6
R.E.M.,It's the End of the World as We Know It (and I Feel Fine),6,24.5
Pink Floyd,Young Lust,7,24.383
Martin O'Donnell & Michael Salvatori,How to Get Ahead in War,13,24.267
Camel,Pressure Points,11,24.2
Hans Zimmer,Tears In The Rain,11,23.833
The Beatles,For No One,12,23.8
The Police,Miss Gradenko,12,23.8
Ryo Nagamatsu,Title Screen,16,23.733
Metallica,Fight Fire With Fire,5,23.667
Howard Shore,The Ride of the Rohirrim,11,23.467
Weird Al  Yankovic,Eat It,7,23.45
Code Manta,DFCK,5,23.417
Weird Al  Yankovic,I Love Rocky Road,9,23.4
Beastie Boys,Sure Shot,7,23.217
Aperture Science Psychoacoustics Laboratory,Robot Waiting Room #6,11,23.1
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",Beach,13,22.967
Weird Al  Yankovic,White & Nerdy,8,22.667
Weird Al  Yankovic,Smells Like Nirvana,6,22.5
Gorillaz,Kids With Guns,6,22.5
Pink Floyd,Goodbye Blue Sky,8,22.267
Weird Al  Yankovic,Callin 'In Sick,6,22.0
Hans Zimmer,Fear Will Find You,7,21.933
Home,Fata Morgana (Interlude),17,21.817
Ennio Morricone,"The Good, the Bad and the Ugly",8,21.6
King Gizzard & The Lizard Wizard,Crumbling Castle,2,21.467
Pink Floyd,Don't Leave Me Now,5,21.25
C418,Minecraft,5,21.167
John Williams,Duel of the Fates,5,21.167
CoLD SToRAGE,Body in Motion,4,20.933
Kenta Nagata,World 1 - Princess Peach's Kingdom,19,20.9
Beastie Boys,Fight for Your Right,6,20.7
Rush,Cygnus X-1 (Book One - The Voyage),2,20.7
Mick Gordon,The DOOM Hunter,4,20.533
Propellerheads,Spybreak!,5,20.333
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",World 5 - Jungle World,14,20.3
Robert Prince,Intermission From Doom,6,20.3
Mick Gordon,Alex Theme,10,20.167
Pink Floyd,Pigs on the Wing (Part 2),14,20.067
Camel,Earthrise,3,20.05
Gorillaz,Rhinestone Eyes,6,20.0
Hans Zimmer,Blood on My Hands,9,19.8
Scorpions,No One Like You,5,19.75
Raphael Colantonio,Semi Sacred Geometry,9,19.5
Pink Floyd,The Thin Ice,8,19.467
Robert Prince,Deep Into The Code,9,19.35
Hans Zimmer,And I Thought My Jokes Were Bad,8,19.333
Clinton Shorter,The Expanse Main Theme,18,19.2
Weird Al  Yankovic,I'll Sue Ya,5,19.167
CoLD SToRAGE,Gods Gift,4,18.8
Robert Prince,Demons on the Prey,7,18.783
Bryan Adams,Cloud Number Nine,5,18.75
CoLD SToRAGE,BONUS TRACK   Scratch Pad 1,2,18.367
Whitesnake,Here I Go Again,4,18.333
Hans Zimmer,A Little Push,7,18.2
Michael McCann,DR. Koller,5,18.167
Nirvana,Come as You Are,5,18.167
Aperture Science Psychoacoustics Laboratory,Concentration Enhancing Menu Initialiser,8,18.133
C418,Sweden,5,17.917
Steve Miller Band,The Joker,4,17.6
Yes,Long Distance Runaround,5,17.5
Green Day,American Idiot,6,17.4
Kenta Nagata,Underground (Yoshi),8,17.333
Vitalis Eirich,Hazulu,11,17.233
Weird Al  Yankovic,King Of Suede,4,17.0
Mick Gordon,Phobos Space,3,16.95
Pink Floyd,Nobody Home,5,16.917
Raphael Colantonio,Mind Game,5,16.833
Aperture Science Psychoacoustics Laboratory,The Future Starts With You,5,16.75
Pink Floyd,Mother,3,16.7
Hans Zimmer,A Dark Knight,1,16.167
Home,Overflow,3,16.1
John Williams,Anakin vs. Obi-Wan,4,15.733
Nirvana,All Apologies,4,15.733
Beastie Boys,Brass Monkey,6,15.7
Camel,Long Goodbyes,3,15.7
Aperture Science Psychoacoustics Laboratory,Robot Waiting Room #1,7,15.633
The Jimi Hendrix Experience,Voodoo Child (Slight Return),3,15.55
Metrik,Bring It Like That,4,15.533
Vitalis Eirich,Fleisch und Eiscreme,15,15.5
Stephen Rippy,Carne y Helado,20,15.333
Keiki Kobayashi,Rescue,4,15.067
Stephen Rippy,Quest for Bacon,13,14.95
CoLD SToRAGE,BONUS TRACK   Power Soccer '97,3,14.55
Hans Zimmer,On Thin Ice,5,14.5
Ludwig Goransson,Mando's Back,2,14.5
Robert Prince,Donna to the Rescue,7,14.467
Pink Floyd,One of My Turns,4,14.4
King Crimson,Elephant Talk,3,14.1
Aerosmith,Back in the Saddle,3,14.0
New Order,Temptation,2,13.967
Rage Against the Machine,Renegades of Funk,3,13.7
Micheal Giaccino,Star Trek Main Theme,4,13.667
Weird Al  Yankovic,Velvet Elvis,3,13.5
Pink Floyd,Is There Anybody Out There ,5,13.417
Stephen Rippy,Quest for Eggs,11,13.383
Whitesnake,Still of the Night,2,13.3
Ludwig Goransson,The Mandalorian,4,13.2
Ludwig Goransson,The Mandalorian,4,13.2
Gorillaz,Fire Coming Out of the Monkey's Head,4,13.067
Robert Prince,The Imp's Song,5,12.667
Robert Prince,Sinister,4,12.6
Junkie XL,Storm Is Coming,2,12.533
nounverber,V A P E,3,12.45
Matt Piersall,Into the Tunnels,7,12.367
Mick Gordon,Metal Hell,2,12.233
Stephen Rippy,Quest for Jam,12,12.2
Mick Gordon,Meathook,2,12.2
Martin O'Donnell & Michael Salvatori,Impart,5,12.167
Mick Gordon,No Gravity,5,12.167
Gorillaz,Don't Get Lost in Heaven,6,12.0
Ludwig Goransson,Nurse and Protect,3,11.95
"Asuka Ohta, Ryo Nagamatsu",Title,10,11.833
Green Day,When I Come Around,4,11.8
Aperture Science Psychoacoustics Laboratory,Still Alive,4,11.733
Ludowic,The Sandman 1,15,11.5
Mick Gordon,Paradise Lost,3,11.35
The White Stripes,Conquest,4,11.2
Green Day,Welcome to Paradise,3,11.2
Aperture Science Psychoacoustics Laboratory,4000 Degrees Kelvin,11,11.183
Stephen Rippy,Quest For Butter,11,11.183
Camel,Vopos,2,11.133
Ludwig Goransson,Trucks In Place,2,11.067
Rage Against the Machine,Fistful of Steel,2,11.033
Stephen Rippy,Quest for Bread,10,11.0
Camel,Pressure Points,5,11.0
Aperture Science Psychoacoustics Laboratory,Forwarding the Cause of Science,3,11.0
John Williams,Cantina Band,4,10.933
Yes,The Fish (Schindleria Praematurus),4,10.867
Mick Gordon,Blood Sacrifice,3,10.75
Mick Gordon,December and January,4,10.733
CoLD SToRAGE,Cardinal Dancer,2,10.633
Stephen Rippy,Drizzle (Firelight Smoove Mix),4,10.6
Pink Floyd,The Trial,2,10.6
Pink Floyd,Empty Spaces,5,10.583
Ludwig Goransson,Windmills,2,10.533
CoLD SToRAGE,Wipeout Intro,9,10.35
CoLD SToRAGE,Trancevaal,2,10.333
CoLD SToRAGE,Cold Comfort,2,10.067
Michael McCann,Hung Hua Brothel (Extended),3,9.85
Mick Gordon,Gladiator Boss,2,9.767
Mick Gordon,Infiltrate The Cult,2,9.733
Ludowic,The Sandman 2,11,9.717
Ludwig Goransson,Back for Beskar,4,9.667
Green Day,Brain Stew,3,9.6
"Asuka Ohta, Ryo Nagamatsu",Title,8,9.467
Ludwig Goransson,Speederbikes,7,9.45
The Offspring,Pretty Fly (For a White Guy),3,9.45
Hans Zimmer,Dream of Arrakis,3,9.4
Michael McCann,Everybody Lies,2,9.333
Michael McCann,Main Menu,5,9.167
Navie D,Sambafellas,7,8.983
Gorillaz,Demon Days,2,8.933
Robert Prince,Mouth For War,5,8.917
CoLD SToRAGE,BONUS TRACK   Sensible Soccer Main Menu,3,8.85
Michael McCann,Harvesters,3,8.85
Camel,Missing,2,8.8
Home,If I'm Wrong,3,8.75
Mitsuhiro Kitadani,Main Menu,3,8.65
Ludwig Goransson,Brown Eyes,3,8.55
Todd Masten,Machina del Diablo,2,8.5
Ian Livingstone & Phonat,Main Menu Theme 5,3,8.4
Todd Masten,Drizzle,2,8.4
C418,Ward,2,8.333
Robert Prince,Sign Of Evil,3,8.3
Todd Masten,T Station,2,8.167
Michael McCann,Return to Hengsha,3,8.15
CoLD SToRAGE,Surgeon,2,8.133
Survivor,Eye of the Tiger,2,8.1
Ludwig Goransson,Nurse and Protect,2,7.967
CoLD SToRAGE,Tenation,3,7.95
Home,Tides,2,7.9
Pink Floyd,Waiting for the Worms,2,7.9
Ram Jam,Black Betty,2,7.9
Michael McCann,The Hive,2,7.867
Mick Gordon,Maykr Drones,2,7.867
Hans Zimmer,Bene Gesserit,2,7.8
Home,Nosebleed,2,7.8
Home,Before The Night,2,7.767
Rush,Lessons,2,7.733
Mick Gordon,The Khan Maykr,1,7.683
Camel,Aristillus,4,7.667
Home,Dusk,2,7.5
CoLD SToRAGE,BONUS TRACK   Sensible Soccer Credits,2,7.367
Pink Floyd,Goodbye Cruel World,6,7.3
Home,Pyxis,2,7.233
Home,Flood,2,7.2
Mick Gordon,Blood Harvesting,2,7.2
Christopher Tin,Baba Yetu,2,7.133
Derek and the Dominos,Layla,1,7.1
Ludwig Goransson,747,1,7.067
Alexander Brandon,Assault At Oceanlab (Oceanlab Combat),2,7.0
C418,Subwoofer Lullaby,2,6.933
Home,Hold,2,6.9
Mick Gordon,You Can't Just Shoot A Hole Into The Surface Of Mars,4,6.8
Home,Night Swim,2,6.733
Home,This Will Pass,2,6.7
Ludwig Goransson,The Baby,2,6.667
Ludwig Goransson,Hey Mando!,3,6.65
Zack Bower,Shamburger,2,6.567
Zack Bower,Operation Monkey,2,6.5
Mick Gordon,The Experiment,4,6.4
Pink Floyd,The Show Must Go On,4,6.4
Ludwig Goransson,To the Jawas,4,6.333
Home,Intro,2,6.3
Keiki Kobayashi,Charge Assault,2,6.3
Mick Gordon,The Phantoms,2,6.3
Jesper Kyd,Action in Paris,2,6.267
Ludwig Goransson,Turnstile,1,6.25
Ludwig Goransson,A Warrior's Death,2,6.233
Hans Zimmer,Harvey Two-Face,1,6.233
Home,Nights (I Wish I Could Be There),2,6.167
Camel,After Words,3,6.15
Home,Odyssey,1,6.15
Robert Prince,Waltz Of The Demons,3,6.1
Stephen Rippy,Quest for Eggs,5,6.083
Green Day,Basket Case,2,6.067
Home,Climbing Out,2,6.033
Gorillaz,DARE,6
The Offspring,The Kids Aren't Alright,2,6.0
Christopher Larkin,Enter Hallownest,4,5.933
Mick Gordon,Asteroids And Rockets,1,5.917
Robert Prince,Kitchen Ace (And Taking Names),2,5.9
Home,Puzzle,2,5.867
Robert Prince,Suspense,2,5.867
Joan Jett and the Blackhearts,I Love Rock 'n' Roll,2,5.833
Navie D,Requium for Rose,1,5.767
Stephen Rippy,Quest for Bacon,5,5.75
Camel,Stationary Traveller,1,5.6
Home,I See You,2,5.433
Rage Against the Machine,Township Rebellion,1,5.4
Todd Masten,Ready for Battle,2,5.333
Eminem,Lose Yourself,1,5.333
Mick Gordon,Barging In,2,5.3
Michael McCann,LIMB Clinic,3,5.2
Pink Floyd,Outside the Wall,3,5.2
Home,Sun,2,5.2
Ludwig Goransson,Troopers,2,5.1
Chamillionaire,Ridin',1,5.05
Hans Zimmer,Herald of the Change,1,5.017
Keiki Kobayashi,Space Elevator,5
Ludwig Goransson,Night Riders,5
Rage Against the Machine,People of the Sun,2,5.0
Mick Gordon,Mars Core,1,4.95
Camel,Spirit of the Water,4,4.933
Alexander Brandon,Hong Kong Canal (Desolation),2,4.833
Ludwig Goransson,Back for Beskar,2,4.833
Ludwig Goransson,To the Jawas,3,4.75
Michael McCann,Lower Hengsha Ambient (Part 1),2,4.7
Navie D,Squeeez,2,4.7
Todd Masten,Shamburger,1,4.7
Pink Floyd,Vera,3,4.65
Jack Wall & Sam Hulick,Mass Effect Theme,2,4.633
Home,Sleep,1,4.567
Alexander Brandon,Beneath the Waves (Oceanlab),2,4.5
Christopher Larkin,Soul Sanctum,1,4.5
Jesper Kyd,47 Attacks,2,4.467
Stephen Rippy,Quest for Bread,4,4.4
Michael McCann,Kinshasa  Fight Theme [360],1,4.367
Pink Floyd,Bring the Boys Back Home,3,4.35
Hans Zimmer,Holy War,1,4.333
Todd Masten,Ride Lawrence Ride,1,4.317
Todd Masten,Pork Parts,1,4.3
Martin O'Donnell & Michael Salvatori,Halo Theme Gungnir Mix (feat. Steve Vai),1,4.25
Scorpions,Rock You Like A Hurricane,1,4.25
Todd Masten,Neep Ninny Bod,1,4.2
Ludwig Goransson,Mando Flies,2,4.133
Ludwig Goransson,Mando Flies,2,4.133
Michael Jackson,Bad,1,4.117
Todd Masten,I Will Beat on Your Behind,1,4.117
Ludwig Goransson,The Ewebb,1,4.1
Howard Shore,The Riders of Rohan,1,4.083
Todd Masten,Shookies in the Bank,1,4.083
Hans Zimmer,Burning Palms,1,4.067
Tool,Rosetta Stoned,4
Stu Phillips,Main Title,3,4.0
Todd Masten,Bass Bag,1,4.0
Mick Gordon,Human Elements,3,3.95
Todd Masten,Maps of the World,2,3.933
Ludwig Goransson,BETRAYAL,1,3.917
Ludwig Goransson,A Friend,1,3.867
Hans Zimmer,I Am The Batman,2,3.8
Navie D,Junkyard King,1,3.783
Mick Gordon,Typhon Voices,2,3.767
Aperture Science Psychoacoustics Laboratory,The Reunion,1,3.75
Aerosmith,Walk This Way,1,3.667
Hans Zimmer,A Storm Is Coming,6,3.6
Jesper Kyd,Trouble in Vegas,1,3.583
Home,Hold Your Breath,2,3.567
Todd Masten,Age of Empires II Main Theme,2,3.567
Mick Gordon,Phobos Base,1,3.517
Pink Floyd,Stop,7,3.5
Rage Against the Machine,Sleep Now in the Fire,1,3.417
Ludwig Goransson,Nurse Droid,3,3.4
Journey,Any Way You Want It,1,3.367
Ludwig Goransson,Retrieving The Case,1,3.333
Ian Livingstone & Phonat,Main Menu Theme 2,1,3.3
Hans Zimmer,Always A Catch,2,3.233
Jack Wall,The Wards,1,3.217
Michael McCann,Entering TYM,2,3.2
Kevin McMullan,"Last Name Crane, Ichabod",1,3.2
Hans Zimmer,Underground Army,1,3.183
Gorillaz,Last Living Souls,1,3.167
Ludwig Goransson,What Remains in the Tunnels,1,3.167
Ludwig Goransson,What Remains in the Tunnels,1,3.167
Alexander Brandon,Vandenberg,1,3.15
Navie D,Pulse,1,3.133
Toto,Paul Meets Chani,1,3.1
Ludwig Goransson,Bounty Droid,1,3.033
Zack Bower,Tazer,1,3.017
Dire Straits,The Man's Too Strong,3
Genesis,Watcher of the Skies,3
Logic,No Pressure,3
Michael McCann,Detroit Marketplace,3
Stephen Rippy,Pudding Pie,3
The Smashing Pumpkins,Mayonaise,3
Ludwig Goransson,The Mudhorn,1,3.0
Aperture Science Psychoacoustics Laboratory,Still Alive (J.C. Mix),1,2.933
Home,9,1,2.917
Zack Bower,"Ride, Lawrence, Ride!",1,2.9
Martin O'Donnell & Michael Salvatori,Tribute,1,2.867
Navie D,Stop and Watch,1,2.85
Ludwig Goransson,Blurg Attack,2,2.833
Aperture Science Psychoacoustics Laboratory,You're Not a Good Person,2,2.8
Zack Bower,Drizzle,1,2.75
Mick Gordon,The Truth Will Set You Free,2,2.733
Home,4,2,2.7
Henry Mancini,Pink Panther Theme,1,2.683
Stephen Rippy,Rich Corinthian Leather,2,2.633
Sam Hulick,A Very Dangerous Place,1,2.633
Noisecream,Discrete,1,2.617
Jack Wall,Liara's World,1,2.583
Hans Zimmer,The Fall,1,2.533
Hans Zimmer,The One,1,2.5
TheOfficialLobst,Moon Pool,1,2.467
Hans Zimmer,Rain,1,2.433
TheOfficialLobst,Andromeda,1,2.417
Home,13,2,2.4
Ian Livingstone & Phonat,Main Menu Theme 3,1,2.367
Ludowic,Prison Air 2,1,2.367
Navie D,DSM-V,1,2.367
Christopher Larkin,Resting Grounds,1,2.2
Stephen Rippy,Uluzah,2,2.033
Christopher Larkin,Dream,1,2.017
Martin O'Donnell & Michael Salvatori,Still Moving,1,2.017
Alexander Brandon,Alien Influence (Area 51),2
Aperture Science Psychoacoustics Laboratory,Subject Name Here,2
Ben Crossbones,Stranded,2
Darbarfestival,Sudha Ragunathan | Raga Abheri | Carnatic Melody | Music of India,2
Hans Zimmer,A Place Among the Stars,2
Hans Zimmer,Running Out,2
Hans Zimmer,What Happens Now ,2
Logic,Hit My Line,2
Mick Gordon - Topic,At Doom's Gate,2
Mick Gordon & Chad Mossholder,End of Level,2
Navie D,Slinky,2
Pink Floyd,In the Flesh,2
Vangelis,Tears in Rain,2
Jack Wall,Saren,1,1.983
Ludvig Forssell,Forward Operating Base,1,1.967
Hans Zimmer,Born In Darkness,1,1.933
Aperture Science Psychoacoustics Laboratory,Your Precious Moon,1,1.917
Martin O'Donnell & Michael Salvatori,Walking Away,1,1.883
Richard Jacques Jack Wall & Sam Hulick,Spectre Induction,1,1.867
Toto,Prologue,1,1.85
Hans Zimmer,Sanctuary,1,1.833
Martin O'Donnell & Michael Salvatori,Strung,1,1.8
Martin O'Donnell & Michael Salvatori,Xenoarchaeology,1,1.767
CoLD SToRAGE,Xenon,3,1.75
Martin O'Donnell & Michael Salvatori,Choreographic,1,1.733
Yes,Cans and Brahms,1,1.717
Jack Wall,Vigil,1,1.7
Richard Jacques Jack Wall & Sam Hulick,The Citadel,1,1.7
Yes,We Have Heaven,1,1.65
Home,29,1,1.617
Home,24,1,1.55
Sam Hulick,The Normandy,1,1.533
Jack Wall,The Presidium,1,1.517
Alexander Brandon,Hong Kong Club 2,1,1.467
Keiki Kobayashi,Fort Grays Air Base Hangar,1,1.433
Home,22,1,1.417
Home,6,1,1.367
Mick Gordon,Neuromods,1,1.367
Sam Hulick,Battle At Eden Prime,1,1.35
Todd Masten,Carne y Helado,1,1.35
Home,Oracle,1,1.333
Ludwig Goransson,Raiders,1,1.333
Brad Fiedel,Terminator Gets Guns Search for Sarah,1,1.217
Gorillaz,Intro,1,1.05
Todd Masten,Flesh and Ice Cream,1,1.05
Aerosmith,Same Old Song and Dance,1
Alexander Brandon,Credits (The Illuminati),1
Alexander Brandon,Helios Ending,1
Alexander Brandon,OceanLab 2,1
Aperture Science Psychoacoustics Laboratory,I Saw a Deer Today,1
Bill Kiley,Tied Up The Moment,1
,,1
,,1
,,1
,,1
,,1
CoLD SToRAGE,BONUS TRACK   Foeter,1
Darbarfestival,Carnatic Music | Jayanthi Kumaresh | Raga Kapi - Thillana | Music of India,1
Darbarfestival,Power of Carnatic Violin | Thillana | Lalgudi GJR Krishnan and Vijayalakshmi | Music of India,1
Eddie Money,Baby Hold On,1
Gorillaz,All Alone,1
Hans Zimmer,Blood for Blood,1
Hans Zimmer,Detach,1
Hans Zimmer,First Step,1
Hans Zimmer,Gom Jabbar,1
Hans Zimmer,Leaving Caladan,1
Hans Zimmer,Watch the World Burn,1
Hans Zimmer; Benjamin Wallfisch,Mesa,1
Hans Zimmer; Benjamin Wallfisch,That's Why We Believe,1
Hom,ome ,1
Home,20,1
Home,5,1
Howard Shore,Cirith Ungol,1
Howard Shore,Minas Tirith,1
Howard Shore,The Prophecy,1
Ian Livingstone & Phonat,Endurance Intro,1
Ilan Eshkeri,Jin Sakai,1
Jack Wall,Criminal Elements,1
Jesse Harlin,Vode An (Brothers All),1
John Williams,The Imperial March (Darth Vader's Theme),1
Led Zeppelin,Moby Dick (Remaster),1
Logic,GP4,1
Ludowic,Prison Ai,1
Ludwig Goransson,Invaders on Their Land,1
Martin O'Donnell & Michael Salvatori,Spartan's Regret,1
Michael McCann,Jewel of the Orient,1
Michael McCann,New York  Ambient [Par,1
Mick Gordon,Acquiring The BFG,1
Mick Gordon,Command and Control,1
Mick Gordon,The Baron Of Hell,1
Mick Gordon,The Icon of Sin,1
Mick Gordon & Chad Mossholder,Doomed Hunter,1
Navie D,Cave Crawl,1
Paul Lipson Lennie Moore Tom Salta Brian Trifon Brian Lee White Martin O'Donnell Michael Salvatori,Halo Theme Scorpion Mix,1
Pink Floyd,Cluster One,1
Rush,Xanadu,1
Stephen Rippy,Across the Ocean Sea,1
Stephen Rippy,Get Ye Sum,1
Stephen Rippy,Noddinagushpa (Main Title),1
Stone Temple Pilots,Plush,1
The Guess Who,American Woman,1
Toto,Main Title,1
Zack Bower,Bass Bag,1
Hans Zimmer,Stranded,1,0.967
Home,26,1,0.967
Home,25,1,0.9
Ian Livingstone & Phonat,Loading Theme 5,1,0.717
Stephen Rippy,Take His Toes,1,0.7
Justin Stander,A Tense Moment,1,0.583
