Artist,Tracks,Plays,Time
Camel,Lunar Sea,54,497.7
The Police,The Bed's Too Big Without You,111,492.1
Rage Against the Machine,Wake Up,81,491.4
Radiohead,No Surprises,129,490.2
Tool,Sober,96,489.6
Tool,Pneuma,41,486.533
Red Hot Chili Peppers,Snow (Hey Oh),86,478.733
Michael McCann,First and Last,148,478.533
Pink Floyd,Have a Cigar,92,470.733
Alexander Brandon,UNATCO,108,466.2
Pink Floyd,Welcome to the Machine,62,466.033
The Police,Reggatta De Blanc,150,465.0
Pink Floyd,Sheep,45,464.25
Michael McCann,Apex Towers,176,463.467
Tool,Disposition,97,462.367
Beastie Boys,Sabotage,154,456.867
Yes,Owner of a Lonely Heart,101,454.5
Dire Straits,Romeo & Juliet,76,448.4
Yes,Heart of the Sunrise,39,446.55
Tool,Fear Inoculum,43,445.05
Home,Resonance,125,441.667
Dire Straits,So Far Away,84,436.8
King Crimson,Frame by Frame,84,434.0
The Police,Does Everyone Stare,112,433.067
The Police,Every Breath You Take,102,430.1
Mick Gordon,Cultist Base,76,420.533
Camel,Song Within a Song,58,417.6
Alexander Brandon,Home Base (UNATCO),41,416.15
U2,Beautiful Day,100,408.333
Rush,Freewill,75,405.0
Home,We're Finally Landing,89,403.467
Eagles,One of These Nights,85,389.583
Michael McCann,Sewers,89,384.183
Camel,Freefall,64,377.6
Keiki Kobayashi,Daredevil,70,374.5
King Crimson,Level Five,51,370.6
Home,Decay,87,363.95
Muse,Uprising,72,362.4
Michael McCann,Barrett Boss Fight,128,360.533
The Police,Message in a Bottle,74,358.9
Beastie Boys,Paul Revere,97,355.667
Hans Zimmer,Dust,62,352.367
Gorillaz,Clint Eastwood,61,345.667
Pink Floyd,On the Run,96,344.0
New Order,Age of Consent,65,342.333
Camel,Air Born,68,341.133
Michael McCann,Singapore Ambient (Part 2),142,340.8
Michael McCann,The Mole,142,340.8
The Police,Hungry For You (J'Aurais Toujours Faim De Toi),117,335.4
Radiohead,Karma Police,77,334.95
Rush,Working Man,46,329.667
Red Hot Chili Peppers,Give It Away,69,324.3
Howard Shore,Into the West,56,323.867
Red Hot Chili Peppers,Under the Bridge,73,321.2
Radiohead,Paranoid Android,50,319.167
Hans Zimmer,Like a Dog Chasing Cars,64,318.933
Radiohead,Creep,80,317.333
Camel,Dunkirk,58,314.167
Supertramp,Breakfast in America,119,313.367
Pink Floyd,"Shine on You Crazy Diamond, Pts. 6-9",25,311.25
Nine Inch Nails,Closer,50,310.833
Martin O'Donnell & Michael Salvatori,Cloaked in Blackness,84,308.0
Dire Straits,Love Over Gold,49,307.883
Michael McCann,The UTULEK Complex  Golem City,68,300.333
Dire Straits,Communiqué,52,297.267
Rush,A Farewell to Kings,50,295.0
Nick Arundel,Evening the Odds,80,293.333
Supertramp,Goodbye Stranger,50,290.833
Pink Floyd,Breathe,105,288.75
New Order,Bizarre Love Triangle,66,288.2
Hans Zimmer,Aggressive Expansion,64,286.933
Michael McCann,Detroit City Ambient (Part 1),138,282.9
Muse,Supermassive Black Hole,81,282.15
Michael McCann,TF29,65,278.417
The Police,Walking on the Moon,55,276.833
