Artist,Tracks,Plays,Time
Camel,Another Night,24,166.8
George Michael,Careless Whisper,33,166.1
Mick Gordon,The Super Gore Nest,32,165.867
Gorillaz,O Green World,36,162.6
Phil Collins,In the Air Tonight,29,162.4
Alexander Brandon,Night Assignment (New York Streets),38,162.133
Gorillaz,Every Planet We Reach Is Dead,33,161.15
Supertramp,Take the Long Way Home,31,160.167
Steely Dan,Do It Again,27,159.75
Ludowic,Overdose,36,159.6
Stephen Rippy,Shamburger,47,159.017
The Police,Does Everyone Stare,41,158.533
Ludowic,Katana Zero,27,156.15
Red Hot Chili Peppers,Snow (Hey Oh),28,155.867
Tom Petty and The Heartbreakers,Mary Jane's Last Dance,34,154.7
Muse,Citizen Erased,21,153.65
Genesis,Firth of Fifth,16,153.067
Mitsuhiro Kitadani,444,33,152.35
Pearl Jam,Black,27,152.1
Home,Come Back Down,31,151.383
Muse,Uprising,30,151.0
Red Hot Chili Peppers,Dark Necessities,30,151.0
Alexander Brandon,Return to Liberty Island (Liberty Island),32,150.933
AC/DC,Back in Black,35,148.75
Eagles,One of These Nights,32,146.667
Jethro Tull,Locomotive Breath,33,146.3
The Police,Message in a Bottle,30,145.5
Gorillaz,Stylo,32,144.0
Pink Floyd,"Another Brick in the Wall, Pt. 2",36,142.8
Rage Against the Machine,Know Your Enemy,29,142.583
Martin O'Donnell &amp; Michael Salvatori,Infiltrate,37,141.833
Alexander Brandon,Mission Critical (Unatco Combat),35,140.583
Home,Synchronize,35,140.0
Muse,Invincible,28,140.0
Radiohead,Creep,35,138.833
Mick Gordon,Doom Eternal,28,138.6
Led Zeppelin,Kashmir,16,137.867
Alexander Brandon,A Tough Decision (Lebedev's Airfield),39,137.8
Rush,YYZ,31,137.433
Alexander Brandon,UNATCO Return (Opponent Within),26,137.367
Red Hot Chili Peppers,Give It Away,29,136.3
Camel,West Berlin,26,135.2
Bill Kiley,End Of The Road,26,133.9
Pink Floyd,On the Run,37,132.583
Martin O'Donnell &amp; Michael Salvatori,Unless You Mean To Shoot,53,132.5
Alexander Brandon,Majestic 12 Laboratories,26,132.167
Tom Petty,Mary Jane's Last Dance,29,131.95
King Crimson,Red,21,131.95
Pink Floyd,"Another Brick in the Wall, Pt. 1",41,131.2
Martin O'Donnell &amp; Michael Salvatori,Halo Theme Scorpion Mix,42,130.9
Jesper Kyd,Vegas,20,130.667
Christopher Larkin,Greenpath,36,130.2
Pink Floyd,Breathe,47,129.25
Michael McCann,Janus,27,129.15
Alexander Brandon,Synapse Awake (The Synapse),30,127.0
Muse,Resistance,22,126.867
The Police,So Lonely,26,125.233
Muse,Plug In Baby,34,124.667
Home,Above All,33,124.3
Home,Falling Into Place,33,124.3
Rush,Tom Sawyer,27,124.2
Mick Gordon,Uac Report File; Shto36u3,40,122.667
The Police,Deathwish,29,122.283
Alexander Brandon,Paris Dance (Paris Club),34,121.267
Alexander Brandon,DuClare Chateau,23,121.133
Rage Against the Machine,Killing in the Name,23,120.367
Alexander Brandon,Battery Park,28,119.933
Rush,The Spirit of Radio,24,119.6
Gorillaz,Superfast Jellyfish,41,118.9
Michael McCann,Home,52,118.733
Alexander Brandon,Conspiracy Theory (Versalife and Majestic 12),24,118.4
The Police,Reggatta De Blanc,38,117.8
Green Day,Whatsername,28,117.6
Alexander Brandon,So It Begins (Deus Ex Main Title),44,117.333
Pink Floyd,Learning to Fly,24,116.8
Rush,Limelight,27,116.55
The Police,It's Alright For You,36,115.8
Alexander Brandon,Lebedev Airfield,32,115.733
Alexander Brandon,Paris Cathedral - Metro,18,115.5
Gorillaz,El Mañana,30,115.0
Radiohead,Exit Music (for a Film),26,114.833
Home,Without A Sound,32,113.6
CoLD SToRAGE,Messij,21,113.05
Home,Head First,31,110.05
Mick Gordon,End Of Level,44,110.0
Cream,White Room,22,110.0
The Police,Every Breath You Take,26,109.633
Pink Floyd,Run Like Hell,25,109.583
Metallica,For Whom the Bell Tolls,21,108.15
Muse,Supermassive Black Hole,31,107.983
Alexander Brandon,Hong Kong Streets,25,107.917
Alexander Brandon,Nicolette's Rapture (Duclare Chateau),32,107.733
Rush,Tears,30,107.0
The Police,The Bed's Too Big Without You,24,106.4
The Police,Walking on the Moon,21,105.7
Martin O'Donnell &amp; Michael Salvatori,Lions and Tigers and...,64,105.6
Collective Soul,December,22,104.5
Led Zeppelin,Stairway to Heaven,13,104.433
Martin O'Donnell &amp; Michael Salvatori,Cryptic Whisper,36,103.2
Mick Gordon,Kalibas The Sightless Judge,18,102.9
R.E.M.,Losing My Religion,23,102.733
Muse,Undisclosed Desires,26,102.267
The Who,Won't Get Fooled Again,12,102.2
Jesper Kyd,Hunter,15,102.0
Red Hot Chili Peppers,Californication,19,101.65
DJ Electrohead,Hit The Floor,29,101.5
Rage Against the Machine,Down Rodeo,19,101.333
Rush,Fly by Night,30,101.0
Michael McCann,Safehouse,35,100.917
The Police,Invisible Sun,27,100.8
Mick Gordon,Hell On Earth,20,100.667
Alexander Brandon,Reyes Gauntlet (Training Room),41,100.45
Muse,Starlight,25,99.583
Keiki Kobayashi,Dual Wielder,28,99.4
Home,Warmth,33,97.35
Dire Straits,Calling Elvis,15,96.75
The Police,Synchronicity II,19,95.633
Martin O'Donnell &amp; Michael Salvatori,Moon Over Mombasa,49,95.55
Rage Against the Machine,Bulls on Parade,25,95.417
The Police,Contact,36,94.8
Alexander Brandon,Ambrosia Hunt (Battery Park),23,94.683
Martin O'Donnell &amp; Michael Salvatori,Pale Rider,61,94.55
Sting,Fields of Gold,26,94.467
Home,New Machines,32,94.4
Camel,Chord Change,14,94.267
Red Hot Chili Peppers,Scar Tissue,26,94.033
New Order,Elegia,19,93.733
Martin O'Donnell &amp; Michael Salvatori,"Bravery, Brotherhood",63,93.45
Pink Floyd,Hey You,20,92.667
The Clash,Rock the Casbah,25,92.5
Ryo Watanabe,Magic Spear I,22,92.4
The Who,Underture,9,90.6
Keiki Kobayashi,Yinshi Valley,27,90.45
Linkin Park,In the End,25,90.0
The Cars,Just What I Needed,24,90.0
Pink Floyd,Any Colour You Like,26,89.7
The Police,King of Pain,18,89.7
Led Zeppelin,Trampled Under Foot,16,89.6
Rage Against the Machine,Bombtrack,22,89.467
The Police,Don't Stand So Close to Me,22,89.467
Pink Floyd,Brain Damage,23,88.933
Camel,Refugee,23,87.783
Rush,Closer to the Heart,30,87.5
Pink Floyd,Interstellar Overdrive,9,87.0
Home,12,38,86.767
Alexander Brandon,Area 51,19,86.767
Stephen Rippy,I Will Beat On Your Behind,29,86.517
Martin O'Donnell &amp; Michael Salvatori,Deference For Darkness,13,86.233
